title,description,show_type,tags,year,length,rating,votes,countries,link,image_link
Świat bakterii / Bacterial World – Microbes That Rule Our World (2017),"Bakteria jako siła sprawcza życia na naszej planecie. Dokument prezentuje najnowsze badania nad naturą mikrobów i ich roli w łańcuchu ewolucyjnym. Okazuje się, że w tej dziedzinie wciąż zostało wiele do odkrycia.",Film,Dokumentalny,2016,,6.5,13,France,https://cda-hd.cc/43216/swiat-bakterii-bacterial-world-microbes-that-rule-our-world-2017-online/,https://image.tmdb.org/t/p/w185/7Nvt5Up8LpKnegkRnCDIsvBPNBo.jpg
Pandemia zabójczej grypy / The Flu That Killed 50 Million (2018),"Christopher Eccleston opowiada o pandemii z 1918 roku. Grypa uśmierciła wówczas ponad 50 milionów ludzi. Po zawarciu rozejmu w Compiegne silnie zakaźna choroba przemieszcza się wraz z powracającymi do domów żołnierzami. Grypa zabije niemal jedną trzecią ówczesnej ludności świata, pochłaniając więcej ofiar niż dwie wojny światowe. Dokument przedstawia przerażającą historię – od żołnierza, który przeniósł wirus na front zachodni, do lekarza, który podjął walkę z September 2018rozprzestrzeniającym się patogenem.",Film,"Dokumentalny, Historyczny",2018,,7.0,25,UK,https://cda-hd.cc/43209/pandemia-zabojczej-grypy-the-flu-that-killed-50-million-2018/,https://image.tmdb.org/t/p/w185/wDbMEMTHot7lrLkNuNqQGBT6zqh.jpg
Miss Hanoi (2018),,Film,Kryminał,2018,,5.7,140,Czech Republic,https://cda-hd.cc/35696/miss-hanoi-2018-online/,https://image.tmdb.org/t/p/w185/lupfydi5gMQ14ThcPg3GwcdtfM3.jpg
Death Race 2050 (2017),"W 2050, gdy ludzie kontrolowani są przez korporacje, które fundują im pranie mózgu dzięki niezliczonym reality show, organizowany jest Wyścig Śmierci. Walczący o utrzymanie tytułu cyborg Frankenstein sabotowany jest przez swego pilota.",Film,"Akcja, Komedia, Sci-Fi",2017,,3.7,4229,USA,https://cda-hd.cc/11148/death-race-2050-2017-online/,https://image.tmdb.org/t/p/w185/5mI8yqZZBlZpvd0aT5YXbR8oEvT.jpg
Pokój ze stajnią: Góry przenosić / Zimmer mit Stall: Berge versetzen (2019),"W obliczu problemów z górskim pensjonatem Sophie (Aglaia Szyszkowitz) i Barthl (Friedrich von Thun) muszą się dogadać. Przypadkowo odkrywają, że brat mężczyzny planuje stworzyć opodal Fuchsbichlerhof innowacyjny ośrodek campingowy.",Film,"Dramat, Komedia",2019,87,5.3,,Germany,https://cda-hd.cc/42669/pokoj-ze-stajnia-gory-przenosic-zimmer-mit-stall-berge-versetzen-2019/,"https://m.media-amazon.com/images/M/MV5BMzNkMmYxNjYtMjdlYi00YzYxLWI3MDEtNDI0ZGQ4ZjMxNDQyXkEyXkFqcGdeQXVyNzgwMTU0MDE@._V1_SY1000_CR0,0,733,1000_AL_.jpg"
Śmiertelne wybawienie / Stalker’s Prey (2017),"Laura Wilcox (Saxon Sharbino) obchodzi swoje osiemnaste urodziny. Wybiera się ze Nickiem Jordanem (Luke Slattery), swoim partnerem, na rejs łódką po morzu. Dochodzi do tragedii i chłopak zostaje zabity przez rekina. Dziewczyna uchodzi z życiem dzięki Bruce’owi Kane (Mason Dye). Przystojny mężczyzna dopiero co przyjechał do domu z college’u. Wkrótce Laura zdaje sobie sprawę, że wybawiciel nie zamierza po prostu dać jej spokoju. Staje się coraz bardziej natrętny.",Film,Thriller,2017,,5.2,374,USA,https://cda-hd.cc/42663/smiertelne-wybawienie-stalkers-prey-2017-online/,https://image.tmdb.org/t/p/w185/eQlz1E45qt9vW2wbDFrfXXSDwgb.jpg
Moja mała / My Little One (2019),"Jade (Anna Mouglalis) to mieszkanka smaganych wiatrem pustynnych terenów Arizony. Pewnego dnia kontaktuje się z byłymi kochankami, Europejczykami Aleksem (Vincent Bonillo) i Bernardo (Mathieu Demy), i namawia ich do wizyty. Mężczyźni na to wezwanie wyruszają do Navajo Nation, gdzie odkrywają nietypowy styl życia Jade i poznają jej frywolną, dziesięcioletnią córkę Fridę (Ruby Matenko). To spontaniczne spotkanie zaowocuje radykalnymi zmianami w ich poglądach na życie, miłość i śmierć. Interesująca produkcja, która zmusza do refleksji.",Film,Dramat,2019,,6.9,13,Switzerland,https://cda-hd.cc/42473/moja-mala-my-little-one-2019-online/,https://image.tmdb.org/t/p/w185/3MVICn1AbUcaSq7teztu0jWwDLP.jpg
Ivan (2017),"Mara (Marusa Majer) ma romans z żonatym biznesmenem Rokiem (Matjaz Tribuson), którego kocha nad życie. Owocem ich związku jest mały Ivan. Pewnego dnia młoda matka odkrywa, że jej ukochany zniknął. Mężczyzna oskarżony jest o popełnienie przestępstwa. Co gorsza, Mara zostaje brutalnie pobita przez kumpli jego żony. W końcu parze udaje się odnaleźć i być razem. Młoda matka musi jednak dokonać niełatwego wyboru między kochankiem a dzieckiem…",Film,Dramat,2019,,7.3,191,"Slovenia, Croatia",https://cda-hd.cc/41947/ivan-2017-online/,https://image.tmdb.org/t/p/w185/l3Drwmr8SwOh6QUw8o557EEbd8.jpg
Puppy Star: Boże Narodzenie / Puppy Star Christmas (2018),"Nowa paczka Pup Star natrafia na rywalizujący zespół, który chce zrujnować Boże Narodzenie, mobilizują siły, by ratować świątecznego ducha.",Film,Familijny,2018,,3.5,126,USA,https://cda-hd.cc/41930/puppy-star-boze-narodzenie-puppy-star-christmas-2018-online/,https://image.tmdb.org/t/p/w185/ztmVR4XlmAWtHFjDBWh2VyYcyuC.jpg
Korpoludki / Corporate Animals (2019),"Co za wspaniała firma! Produkuje jadalne sztućce, dba o środowisko naturalne, a przede wszystkim troszczy się o swoich ludzi. Pod opieką niestabilnej emocjonalnie szefowej (Demi Moore), lubiącej wygłaszać kontrowersyjne teorie w stylu: „Mózg to największy mięsień”, kilkoro pracowników bierze udział w wyjeździe integracyjnym w Nowym Meksyku. Wycieczka szybko zamienia się w koszmar, gdy na skutek trzęsienia ziemi grupa zostaje uwięziona w jaskini. Dramatyczna sytuacja powinna zmusić ich do współpracy, lecz zamiast tego zaczyna się rozliczanie winnych, a na jaw wychodzą najgorsze firmowe sekrety. Po kilku dniach spędzonych w pułapce padnie wreszcie kluczowe pytanie: kogo zjeść, żeby przetrwać?",Film,"Horror, Komedia",2019,,4.4,1095,USA,https://cda-hd.cc/41923/korpoludki-corporate-animals-2019-online/,https://image.tmdb.org/t/p/w185/nFiJwUXiKLcsblGKvUPHyGjLEn7.jpg
Nadmiar łaski / Troppa grazia (2018),"Lucia (Alba Rohrwacher) i Arturo (Elio Germano) przechodzą poważny kryzys małżeński. Jedno z nich dopuściło się zdrady. Para żarliwie się kłóci. Nie mogą jednak robić tego zbyt głośno z uwagi na swoją nastoletnią córkę, Rosę (Rosa Vannucci), która rzekomo śpi. Po awanturze mężczyzna wychodzi z domu. Tymczasem Lucia musi przystosować się do nowej rzeczywistości. Niedługo po kłótni małżonków, kobieta spotyka na swojej drodze Matkę Boską.",Film,"Dramat, Komedia",2018,,6.0,949,Italy,https://cda-hd.cc/41832/nadmiar-laski-troppa-grazia-2018-online/,https://image.tmdb.org/t/p/w185/hdN93wHBtmqPh3tlxS4bpHkSAOA.jpg
Świąteczny rycerz / The Knight Before Christmas (2019),"Rycerz w magiczny sposób przenosi się z XIV wieku do współczesnego Ohio i zakochuje w nauczycielce, która przestała wierzyć w miłość.",Film,"Dramat, Fantasy, Komedia, Przygodowy, Romans",2019,,5.5,2211,USA,https://cda-hd.cc/41227/swiateczny-rycerz-the-knight-before-christmas-2019-online/,https://image.tmdb.org/t/p/w185/ivymBQYzYqZoLhvgYg77gSzXKsA.jpg
Klaus (2019),"Jesper (Jason Schwartzman) okazuje się najgorszym studentem w historii akademii listonoszy i zostaje przeniesiony na mroźną wyspę za północnym kołem podbiegunowym, gdzie skłóceni mieszkańcy rzadko ze sobą rozmawiają, a o pisaniu listów nie ma nawet mowy. Jesper jest już bliski rezygnacji, gdy znajduje wsparcie u miejscowej nauczycielki o imieniu Alva (Rashida Jones) i poznaje Klausa (nagrodzony Oscarem J.K. Simmons), tajemniczego stolarza, który mieszka samotnie w chatce pełnej własnej roboty zabawek. Ta wyjątkowa przyjaźń przywraca radość życia w Smeerensburg, skłaniając sąsiadów do hojności i wprowadzając nowe, pełne magii zwyczaje, jak wieszanie skarpet na kominku.",Film,"Animacja, Familijny, Komedia, Przygodowy",2019,,8.2,160219,Spain,https://cda-hd.cc/41131/klaus-2019-online/,https://image.tmdb.org/t/p/w185/q125RHUDgR4gjwh1QkfYuJLYkL.jpg
Parking (2019),"Adrian (Mihai Smarandache) jest ubogim rumuńskim pisarzem, który mieszka w przyczepie na obrzeżach zatłuczonej andaluzyjskiego miasta. Hiszpanie nie ufają mu, on jednak stara się zwalczyć panujące tam stereotypy, pracując za niewielkie pieniądze. Pewnego dnia podczas pobytu w innym mieście spotyka muzyczkę Marię (Belén Cuesta). Jako niepoprawny romantyk próbuje zdobyć jej serce. Obraz doceniony na MFF w Transylwanii.",Film,"Dramat, Romans",2018,,6.7,106,"Romania, Spain, Czech Republic",https://cda-hd.cc/40817/parking-2019-online/,https://image.tmdb.org/t/p/w185/3a7WzCr5UXD6Caum8SFCrXmvTOs.jpg
Draug (2018),"W XI wieku misjonarz zaginął gdzieś w ogromnych lasach graniczących z północnymi częściami Szwecji. Wysłano po niego ratowników, ale głęboko w tych lasach znajdą coś zupełnie innego. Coś ciemnego. Coś starożytnego. Coś złego.",Film,Horror,2019,,6.2,47,Sweden,https://cda-hd.cc/40590/draug-2018-online/,https://image.tmdb.org/t/p/w185/8PtIw0roIIRJGh8Al7Zh1o5JHOw.jpg
Szubienica 2 / The Gallows Act II (2019),"Kiedy Ana Rue przenosi się do nowej, prestiżowej szkoły aktorskiej, napotyka złowrogiego ducha po wzięciu udziału w wyzwaniu.",Film,"Horror, Tajemnica, Thriller",2019,,7.1,19,USA,https://cda-hd.cc/40437/the-gallows-act-ii-2019/,https://image.tmdb.org/t/p/w185/h2OCcYwUGqSBvqHjE3QBtTNeKXY.jpg
Doom: Annihilation (2019),"Film opowiada o grupie kosmicznych marines, którzy odpowiadają na wezwanie ratunkowe z bazy na księżycu Marsa, tylko po to, by odkryć, że miejsce zostało przejęte przez demoniczne stwory, które chcą stworzyć Piekło na Ziemi.",Film,"Akcja, Horror, Przygodowy, Sci-Fi, Thriller",2019,,3.6,1508,USA,https://cda-hd.cc/40352/doom-annihilation-2019-online/,https://image.tmdb.org/t/p/w185/y0veZvK4Q0NzoAjbFlUrGr1cvZ8.jpg
Wendeta / Brimstone (2016),,Film,"Thriller, Western",2017,148,7.5,2541,"Netherlands, France, Germany, Belgium, Sweden, UK",https://cda-hd.cc/14188/brimstone-2016-online/,https://image.tmdb.org/t/p/w185/fYYruOEwdbJhlgdfK1HxPhXwHiB.jpg
"Całujesz i masz / Pup-o, ma! (2018)","Trzech spragnionych miłości samotnych pasterzy próbuje pocałować upatrzone panie, licząc na to, że uda im się skłonić je do małżeństwa.",Film,Komedia,2019,,6.5,316,Romania,https://cda-hd.cc/40138/calujesz-i-masz-pup-o-ma-2018-online/,https://image.tmdb.org/t/p/w185/vVrKGKTjk9ULFSfWJvYDhbPcnob.jpg
Hoax (2019),"Zespół śledczy podróżuje w głąb odległej pustyni Colorado po tym, jak grupa młodych obozowiczów zostaje brutalnie zamordowana przez coś, co może być Wielką Stopą.",Film,Horror,2019,,3.6,314,USA,https://cda-hd.cc/39978/hoax-2019-online/,https://image.tmdb.org/t/p/w185/hK7s0dsNLGyEFokHyvyyTj1KCYL.jpg
Palące pożądanie / Manmarziyaan (2018),"Trójkąt miłosny między uduchowioną dziewczyną, towarzyskim chłopakiem i narzeczonym, który nadaje się na męża.",Film,Romans,2018,,6.9,5482,India,https://cda-hd.cc/39905/palace-pozadanie-manmarziyaan-2018-online/,https://image.tmdb.org/t/p/w185/spTuL3PJFYQsxBdAHbUJlHtwwyi.jpg
Wigilijny koszmar / Christmas Apparition (2016),"Emma opiekuje się dwójką nastolatków w przestronnym domu. Pomimo starań, by dało się odczuć magię i ciepło Bożego Narodzenia, para młodych domowników traktuje kobietę z wrogością i podejrzliwością. Wraz z upływem czasu, pobyt Emmy w nowym domu staje się coraz mniej przyjemny. Natężają się jej stany lękowe, w mieszkaniu objawiają się przedziwne cienie, a codzienne życie wydaje się balansować na granicy rzeczywistości i snu. Emmę, zmęczoną napiętą atmosferą i niepokojącymi obrazami z własnego umysłu, zaczynają nawiedzać wizje nieznajomego w domu. Niekończące się koszmary i wychodzące na jaw straszliwe fakty o nowo poznanej rodzinie zmuszają Emmę do konfrontacji z niewyobrażalnym złem, o którym jej wybujałemu umysłowi nawet się nie śniło.",Film,Thriller,2016,,5.2,422,USA,https://cda-hd.cc/23122/wigilijny-koszmar-christmas-apparition-2016/,"https://images-na.ssl-images-amazon.com/images/M/MV5BZmRlNjI3NzMtNmViZS00OTJkLWIyZTUtOTUzNGRkNzU1M2Q3XkEyXkFqcGdeQXVyMzIwNjMzOTM@._V1_UX182_CR0,0,182,268_AL_.jpg"
Zemsta córki kaznodziei / I Killed My BFF: The Preacher’s Daughter / Do Unto Others (2018),"Lily, córka kaznodziei, zaprzyjaźnia się z charyzmatyczną Rae i pod jej wpływem stopniowo porzuca bogobojne życie. Nagła śmierć Jasona, brata Lily, sprawia, że obwinia ona Rae, podejrzewając ją o konszachty z siłami zła. Postanawia wymierzyć jej karę.",Film,"Dramat, Thriller",2018,,5.0,101,USA,https://cda-hd.cc/39755/zemsta-corki-kaznodziei-i-killed-my-bff-the-preachers-daughter-do-unto-others-2018-online/,https://image.tmdb.org/t/p/w185/3BcBu4C6fWuUd8Keyqzb92wjpn.jpg
Arktyczna apokalipsa / Arctic Apocalypse (2019),"Katastroficzny obraz opowiadający historię rodziny przemierzającej mroźne bezdroża, po tym jak zmiany klimatyczne skuwają północną półkulę lodem.",Film,Akcja,2019,,3.7,6,USA,https://cda-hd.cc/39701/arktyczna-apokalipsa-arctic-apocalypse-2019-online/,https://image.tmdb.org/t/p/w185/6yOakcmbhgV0PXaUvL6iCzxeeb3.jpg
Boi (2019),Młody szofer na życiowych rozdrożach obwozi dwóch klientów po Barcelonie i daje się wciągnąć w realizację ich tajemniczego zadania.,Film,"Tajemnica, Thriller",2019,,4.7,115,Spain,https://cda-hd.cc/39583/boi-2019-online/,https://image.tmdb.org/t/p/w185/2lGKEaL315JTlusiQDRobBA84ES.jpg
Apollo 11: zaginione nagrania / Apollo: The Forgotten Films (2019),"W 1969 roku miliony ludzi patrzyły, jak Neil Armstrong stawia pierwsze kroki na Księżycu. Jednak za tymi słynnymi zdjęciami kryje się wiele niedopowiedzeń. Niektóre teorie pełne są wątpliwości, co do autentyczności materiałów. Ujawnione zostają nieodkryte dotąd archiwa.",Film,"Biograficzny, Dokumentalny, Historyczny",2019,,8.6,10,USA,https://cda-hd.cc/39486/apollo-11-zaginione-nagrania-apollo-the-forgotten-films-2019-online/,https://image.tmdb.org/t/p/w185/ea1F7HmYXyTxsZqnHnZ0v8dJ5p5.jpg
Lądowanie na Księżycu: Taśmy prawdy / Moon Landing The Lost Tapes (2019),"20 lipca 1969 roku doszło do jednego z najważniejszych wydarzeń w dziejach ludzkości – Neil Armstrong stanął na powierzchni Księżyca. Sukces ten okupiony był ciężką pracą. Poprzedziło go wiele nieudanych przedsięwzięć. Zaprezentowane zostaną niepokazywane wcześniej materiały, w tym wywiady z astronautami i inżynierami czy nagrania ze Srebrnego Globu, które dotąd uważano za zaginione. Przejmujący obraz uzupełnią ponadto prywatne nagrania. Twórcy dołożyli starań, aby widz miał wrażenie osobistego uczestniczenia w wydarzeniach.",Film,Dokumentalny,2019,,6.0,323,USA,https://cda-hd.cc/39427/ladowanie-na-ksiezycu-tasmy-prawdy-moon-landing-the-lost-tapes-2019/,https://m.media-amazon.com/images/M/MV5BY2ExOThiZDgtMzlkMi00OGFhLTllNGEtMGRlNDlhNTBjMWM5XkEyXkFqcGdeQXVyMzM3Mjk4NQ@@._V1_FMjpg_UX1000_.jpg
Źyciowy gracz / Spielmacher (2018),"Ivo (Frederick Lau) grał niegdyś w zawodowej drużynie piłki nożnej. Na kartach jego przeszłości zapisało się także parę kryminalnych incydentów. Teraz Ivo chce zmienić swoje życie. Skłonności do łamania prawa jednak okazują się jednak zbyt silne, by pozwolić o sobie zapomnieć. Pewnego dnia bowiem oszust Dejansa (Oliver Masucci) zauważa u Ivo naturalny talent do zakładów w dziedzinie sportu i postanawia zaangażować go w kolejne matactwa. Były piłkarz poznaje też młodego sportowca Lucasa (Mateo Wansing Lorrio) i zakochuje się w jego matce.",Film,"Dramat, Kryminał, Sportowy",2018,,6.4,102,Germany,https://cda-hd.cc/39344/zyciowy-gracz-spielmacher-2018-online/,https://image.tmdb.org/t/p/w185/k0ij0ahAG1uJl6C40ZqzjKqAe3z.jpg
Rusałka. Jezioro umarłych / Rusalka: Ozero myortvykh (2018),"Marina ma wyjść za Romana. Tymczasem jej ukochany spotyka tajemniczą dziewczynę i coraz bardziej ulega czarowi, który na niego rzuciła. Marina musi przezwyciężyć lęk przed wodą, by pokonać demony.",Film,"Dramat, Fantasy, Horror, Romans, Tajemnica, Thriller",2018,,4.3,680,Russia,https://cda-hd.cc/39104/rusalka-jezioro-umarlych-rusalka-ozero-myortvykh-2018-online/,https://image.tmdb.org/t/p/w185/9s1dZT7G95zL3JZ3K34VHZi6oa5.jpg
Mój tata pisał pornografię / My Dad Wrote a Porno (2019),"Podcast z seksualnym podtekstem, który stał się wielkim hitem po obu stronach Atlantyku. Produkcja trafiła do telewizji jako wydarzenie specjalne nagrane przed publicznością na żywo w Roundhouse.",Film,Komedia,2019,,6.2,166,UK,https://cda-hd.cc/38887/moj-tata-pisal-pornografie-my-dad-wrote-a-porno-2019-online/,https://image.tmdb.org/t/p/w185/za8xRL3ygFyk1zRzAEsYuu26Zht.jpg
Gra o Tron: Ostatnia warta / Game of Thrones: The Last Watch (2019),"Film dokumentalny „Gra o Tron: Ostatnia warta” („Game of Thrones: The Last Watch”) zanurza się głęboko w pełen błota i krwi serialowy świat „Gry o tron”, aby pokazać pot i łzy, jak również chwile triumfu, które towarzyszyły jego twórcom przy kreowaniu świata Westeros i jego bohaterów. Zdjęcia kręcone były nie tylko w studiach, ale również na polach i parkingach w Irlandii Północnej. Dokument ten jest bezprecedensową, osobistą kroniką odsłaniającą kulisy powstawania „Gry o Tron”. Twórcy podążają w nim za członkami ekipy i obsadą serialu, którym przyszło zmagać z ekstremalną pogodą, goniącymi ich terminami czy nieustanną ciekawością podekscytowanych fanów, którzy marzyli o poznaniu chociaż rąbka fabuły. Produkcja ta jest nie tylko kroniką pracy na planie, to także zabawna i przejmująca historia, opowiedziana ze swadą i dużą dozą intymności, przedstawiająca słodko-gorzką prawdę o radości, jaką daje tworzenie świata i smutku towarzyszącym konieczności pożegnania się z nim.",Film,Dokumentalny,2019,,7.6,2378,USA,https://cda-hd.cc/38875/gra-o-tron-ostatnia-warta-game-of-thrones-the-last-watch-2019-online/,https://image.tmdb.org/t/p/w185/9qpuNPi06IdqqZdRunRRSOl65RS.jpg
Perfekcja / The Perfection (2018),"W tym thrillerze o zawiłej fabule wirtuozka wiolonczeli po długiej przerwie w karierze odszukuje dawnych mentorów i odkrywa, że mają nową utalentowaną uczennicę.",Film,"Dramat, Horror, Thriller",2019,,6.3,157,USA,https://cda-hd.cc/38829/perfekcja-the-perfection-2018/,https://image.tmdb.org/t/p/w185/tPDe68PDsgIGMs6wdJLtcwVVxA7.jpg
