title,description,show_type,tags,year,length,rating,votes,countries,link,image_link
Szklane Piekło / Crystal Inferno (2017),"W kancelarii adwokackiej, znajdującej się na 60. piętrze nowowybudowanego nowoczesnego wieżowca, Brianna (Claire Forlani) i Tom (Jamie Bamber) Bronsonowie przygotowują się do podpisania dokumentów rozwodowych. Tymczasem na 20 piętrze budynku, gdzie akurat w windzie znajdują się ich nastoletni syn oraz córka, wybucha pożar.
Zwaśnieni małżonkowie muszą zjednoczyć siły, by uratować siebie i uwięzione dzieci.",Film,"Akcja, Familijny, Przygodowy",2017,,4.9,148,"France, Belgium",https://cda-hd.cc/30362/szklane-pieklo-crystal-inferno-2017-online/,https://image.tmdb.org/t/p/w185/jM7VphK4v3yFCMwKiDd0ejVIkUw.jpg
Dziewczyna w skrzyni / The Girl in the Box (2016),"Podróżująca autostopem 22-letnia Colleen Stan zostaje porwana przez Camerona i Janice Hookerów. W ich domu spędza siedem lat, torturowana, gwałcona i przetrzymywana w skrzyni wielkości trumny.",Film,"Dramat, Kryminał",2016,,6.3,428,Canada,https://cda-hd.cc/29783/dziewczyna-w-skrzyni-the-girl-in-the-box-2016-online/,"https://m.media-amazon.com/images/M/MV5BZTRkZTY0MjgtZTgzNC00MmEwLWFkMGEtNzlhOTA0NTZhNTc2XkEyXkFqcGdeQXVyMjUxNzU1NjA@._V1_UY268_CR30,0,182,268_AL_.jpg"
Scooby-Doo & Batman: the Brave and the Bold (2018),"Batman łączy siły z gangiem Scooby Doo, gdy złoczyńcy z obu światów jednoczą się, by siać spustoszenie w mieście.",Film,"Akcja, Animacja, Komedia",2018,,9.4,5,USA,https://cda-hd.cc/23467/scooby-doo-batman-the-brave-and-the-bold-2018-online/,https://image.tmdb.org/t/p/w185/hSPeF1zoYH8kCOhFMu7x3B55zu6.jpg
Babes With Blades (2018),"Azura, ostatnia z nieustraszonej rasy wojowniczek, walczy z imperium, które zniszczyło jej dom.",Film,Fantasy,2018,,3.1,51,UK,https://cda-hd.cc/23469/babes-with-blades-2018-online/,https://image.tmdb.org/t/p/w185/fwdFyAP2M9N70bQoCHPIPoM70Tg.jpg
Coco (2017),"Film opowiada o historii małego chłopca – Miguela, który próbuje rozwiązać pewną tajemnicę rodzinną. Za sprawą nieoczekiwanych wydarzeń dochodzi do spotkania chłopca i rodziny, żywej jak i martwej.",Film,"Animacja, Familijny, Fantasy, Komedia, Muzyczny, Przygodowy, Tajemnica",2017,,8.4,102,USA,https://cda-hd.cc/23425/coco-2017-online/,https://image.tmdb.org/t/p/w185/eKi8dIrr8voobbaGzDpe8w0PVbC.jpg
Controra: Dom pełen cieni / Controra – House of Shadows (2014),"Megan (Fiona Glascott) jest odnoszącą sukcesy malarką. Mieszka w Dublinie wraz z mężem, architektem Leo (Pietro Ragusa), który wyemigrował przed laty do Irlandii. Pewnego dnia mężczyzna dowiaduje się o śmierci wuja – wpływowego duchownego Domenico (Salvatore Lazzaro). Krewny pozostawił mu w spadku zabytkowy pałac we włoskiej Apulii. Leo zamierza sprzedać okazałą posiadłość, ale jego żona jest zauroczona śródziemnomorskim klimatem. Postanawia spędzić w odziedziczonej rezydencji lato. Wkrótce staje się świadkiem budzących grozę wydarzeń. Przekonuje się, że rodzina jej męża skrywa przed światem mroczne tajemnice z przeszłości. Za kamerą stanęła debiutująca w pełnym metrażu reżyserka i scenarzystka Rossella De Venuto, która umiejętnie nawiązuje do tradycji włoskich horrorów z lat 70.",Film,Thriller,2014,,5.5,72,Italy | Ireland,https://cda-hd.cc/23400/controra-dom-pelen-cieni-controra-house-of-shadows-2014-online/,"https://m.media-amazon.com/images/M/MV5BNWZkMzM0OTItNTAxMy00Zjg4LTllNDAtODM5YTNmMWFlMGQxXkEyXkFqcGdeQXVyMTQ0NjA2ODA@._V1_UY268_CR5,0,182,268_AL_.jpg"
Lazer Team 2 (2018),,Film,Sci-Fi,2017,86,5.8,348,USA,https://cda-hd.cc/23384/lazer-team-2-2018-online/,https://image.tmdb.org/t/p/w185/21A6RTi9RgOdHmcwC1DSqgi2cIJ.jpg
Czas zemsty / Dead Man Down (2013),"Victor (Colin Farrell) jest prawą ręką bossa podziemnego światka (Terrence Howard). Od pewnego czasu jego ludzie są systematyczniee likwidowani przez nieuchwytnego mordercę, pozostawiającego na miejscu zbrodni tajemnicze wiadomości. Członkowie gangu za wszelka cenę usiłują namierzyć zabójcę. W międzyczasie Victor poznaje delikatną, subtelną dziewczynę z bloku naprzeciwko. Beatrice (Noomi Rapace) mieszka tam razem z matką (Isabelle Huppert). Para zaczyna się spotykać, i wkrótce okazuje się, że krucha Francuzka nie jest taką kobietą, jaką się wydaje. Owładnięta chęcią zemsty na ludziach, którzy kiedyś zrobili jej krzywdę, Beatice jest silna, zdeterminowana i inteligentna – szybko domyśla się, że Victor też ukrywa mroczną tajemnicę z przeszłości.",Film,"Akcja, Dramat, Kryminał, Thriller",2013,,6.5,60414,USA,https://cda-hd.cc/20251/czas-zemsty-dead-man-down-2013-online/,https://image.tmdb.org/t/p/w185/5j7V4YcWo82CMU8EP2QIc2mWr25.jpg
Star Wars Battlefront II (2017),Jest to pełny film z STAR WARS Battlefront 2 z pełnym polskim dubbingiem oraz angielskimi napisami.,Film,"Akcja, Fantasy, Przygodowy",2017,,6.2,912,Sweden | USA,https://cda-hd.cc/23292/star-wars-battlefront-ii-2017-online/,"https://images-na.ssl-images-amazon.com/images/M/MV5BOTY3NzM1OTI3OV5BMl5BanBnXkFtZTgwOTUyNzMwMjI@._V1_UY268_CR7,0,182,268_AL_.jpg"
#realityhigh (2017),"Wzorowa uczennica, Dani, w końcu nawiązuje relację z chłopakiem, w którym od dawna się podkochuje. To wyraźnie nie podoba się jego byłej, która jest gwiazdą internetu.",Film,Komedia,2017,,5.1,348,USA,https://cda-hd.cc/20162/realityhigh-2017-online/,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDU3Mzk0ODAtMzI0Ni00YTUzLWIyNDctMDE3OTE3OTk4OWE2XkEyXkFqcGdeQXVyNTM0MDc1ODE@._V1_UX182_CR0,0,182,268_AL_.jpg"
Nago / Naked (2017),"Rob jest szaleńczo zakochany i zaraz ma się ożenić. Niestety, chwilowo utknął nago w windzie oraz w… pętli czasowej.",Film,Komedia,2017,,7.1,291,USA,https://cda-hd.cc/19421/nago-naked-2017-online/,https://image.tmdb.org/t/p/w185/5nxYmm03RAqAChErpRpFTHDlfCq.jpg
Coś za mną chodzi / It Follows (2014),,Film,"Horror, Thriller",2015,100,6.9,121716,USA,https://cda-hd.cc/19020/cos-za-mna-chodzi-it-follows-2014/,https://image.tmdb.org/t/p/w185/rqXGtKauOLgPeX3GfdnrrT8XTnL.jpg
Band Aid (2017),"Band Aid to nowa komedia romantyczna w reżyserii Zoe Lister-Jones, która wciela się również w postać głównej bohaterki. Historia dotyczy pary, której wspólne życie obfituje w kłótnie, sprzeczki i wyzwiska. Pewnego razu postanawiają, że założą zespół, a wszystkie złe słowa, które słyszą od siebie nawzajem, uczynią tekstami nowych piosenek.",Film,Komedia,2017,,6.7,1478,USA,https://cda-hd.cc/20225/band-aid-2017/,https://image.tmdb.org/t/p/w185/wGhQ3FKA57HxyFYM0ttLgazzbF0.jpg
Policyjna opowieść / Ging chat goo si (1985),,Film,"Akcja, Kryminał, Thriller",1985,101,7.6,20761,Hong Kong,https://cda-hd.cc/16778/policyjna-opowiesc-ging-chat-goo-si-1985/,https://image.tmdb.org/t/p/w185/u8q2UT6pU2KaoD2fhNWcy0bq7g3.jpg
Pasażerowie / Passengers (2016),"Akcja jest osadzona w przyszłości i skupia się na Jimie Prestonie , mechaniku, który został wysłany w mającą trwać 120 lat podróż na skolonizowaną planetę w innej galaktyce. Niestety coś idzie nie tak w procesie hibernacji i Jim budzi się o 100 lat za wcześnie, mając do towarzystwa tylko roboty i androidy. Po jakimś czasie postanawia obudzić z hibernacji podróżującą z nim piękną dziennikarkę Aurorę . Zakochują się w sobie, ale muszą stawić czoła problemom z funkcjonowaniem statku i konsekwencjom wybudzenia Aurory.",Film,"Dramat, Przygodowy, Romans, Sci-Fi",2016,,7.0,14801,USA,https://cda-hd.cc/9889/pasazerowie-passengers-2016-online/,https://image.tmdb.org/t/p/w185/wviOHW4CNtOQ2EjRNZzbmqiDQxe.jpg
Major Grom / Mayor Grom (2017),"Na podstawie komiksu o tej samej nazwie. Igor Grom, wykwalifikowany detektyw z Petersburga, postanawia powstrzymać napad na bank.",Film,"Akcja, Dramat, Przygodowy, Sci-Fi",2016,,5.5,2121,Russia,https://cda-hd.cc/15046/major-grom-mayor-grom-2017-online/,https://image.tmdb.org/t/p/w185/o2whGyj5zn3uSnBjefSiMIElIUO.jpg
Ziemiostrofa / Earthtastrophe (2016),"Nadciąga koniec świata. Ludzkość czeka niemal pewne wyginięcie, kiedy z nieba znika Księżyc, a sama Ziemia zostaje wessana do tunelu czasoprzestrzennego.",Film,"Akcja, Sci-Fi, Thriller",2016,,3.8,90,USA,https://cda-hd.cc/14306/widmo-zaglady-earthtastrophe-2016-online/,https://image.tmdb.org/t/p/w185/PdO6DOQktCGtPeZRrtOZhtvjWf.jpg
Barbie: Dreamtopia (2016),"Chelsea, młodsza siostra Barbie, wyrusza na spotkanie fantastycznych przygód do kolorowego, zaczarowanego świata swojej wyobraźni – Dreamtopii. Bajkowy świat marzeń został podzielony na cztery magiczne obszary. Włada nimi starsza siostra dziewczynki z Rodziny Księżniczek, która wspólnie z odważną Chelsea przeżyje masę niezapomnianych przygód.",Film,Animacja,2016,,7.2,20,USA,https://cda-hd.cc/14117/barbie-dreamtopia-2016-online/,https://image.tmdb.org/t/p/w185/3TUdBiuRIMWdwwxwzwvktiExJFY.jpg
Rozdanie Oscarów 2017 / The Oscars 2017 / 89th Academy Awards (2017),Gala wręczenia oscarów 2017.,Film,"Dokumentalny, Familijny",2017,,7.0,311,USA,https://cda-hd.cc/13529/rozdanie-oscarow-2017-the-oscars-2017-89th-academy-awards-2017-online/,https://image.tmdb.org/t/p/w185/h4sSShDBjStVqmt3fr6i1h9W267.jpg
LEGO Ninjago: Noc duchów (2017),"Zobacz, jak ninja stawiają czoła czarnym charakterom, z którymi walczyli w przeszłości!",Film,"Akcja, Animacja, Komedia",2017,,6.2,,"USA, Denmark",https://cda-hd.cc/13493/lego-ninjago-noc-duchow-2017-online/,"https://m.media-amazon.com/images/M/MV5BNDI3MDljMTQtYzBiYS00NDk2LTlhYzUtYmM0NWIyMmZkMDZkXkEyXkFqcGdeQXVyNjk5NDA3OTk@._V1_UY268_CR3,0,182,268_AL_.jpg"
LEGO® BATMAN: FILM / The Lego Batman Movie (2017),"W duchu zabawy, dzięki której film „LEGO® PRZYGODA” stał się fenomenem na skalę światową, samozwańczy przywódca grupy – Batman z LEGO – staje się gwiazdą własnej wielkoekranowej przygody. W Gotham szykują się jednak wielkie zmiany. Jeśli Batman chce uratować miasto przed zakusami Jokera, musi porzucić swoją samotnię i spróbować współpracy z innymi, a przy okazji być może przyjąć bardziej pozytywną postawę.",Film,"Akcja, Animacja, Familijny, Fantasy, Komedia",2017,104,7.7,,"USA, Denmark",https://cda-hd.cc/12686/lego-batman-film-the-lego-batman-movie-2017-online/,https://image.tmdb.org/t/p/w185/vvgUPeXqt6BOXE2IODGZytCvs3J.jpg
Miasto zatopionych bogów (2013),"Dzieje wczesnośredniowiecznego Wolina mające swoje odzwierciedlenie w zapisach kronikarzy, w staroskandynawskich sagach, a także w legendach są niezwykle barwne. Obraz miasta, jaki wyłania się z tej filmowej opowieści, powstał na podstawie wyników wieloletnich badań prowadzonych przez naukowców. Przy dzisiejszym stanie wiedzy wydaje się jedną z najbardziej prawdopodobnych wizji grodu. Czy naukowcy są zgodni w swoich hipotezach? Widzowie poznają różne stanowiska, a które z nich są trafne, pokażą w przyszłości towarzyszące archeologii coraz to nowe metody badawcze. Wolin cieszy się wyjątkową sławą w świecie odtwórców historycznych dzięki corocznemu Festiwalowi Słowian i Wikingów. W filmie występuje ich kilkuset, w tym wielu obcokrajowców, w rolach dawnych rzemieślników, kupców i wojowników. Scenografią większości scen był unikalny woliński skansen archeologiczny. Dopełnieniem są wirtualne rekonstrukcje całego kompleksu osadniczego nad Dziwną. Film „Miasto zatopionych bogów” jest efektem współpracy filmowców, naukowców, odtwórców historycznych i wielu ludzi dobrej woli, których połączyła pasja poznawania tajemnic początków Polski. Z nadzieją, że pasja ta będzie się udzielać także widzom.",Film,Dokumentalny,2013,,7.2,193,,https://cda-hd.cc/11525/miasto-zatopionych-bogow-2013-online/,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201%201'%3E%3C/svg%3E"
Liga Sprawiedliwości Mrok / Justice League Dark (2017),"Bohaterowie, którzy dysponują nadprzyrodzonymi mocami, jednoczą się w walce z nieziemskimi złoczyńcami. Zespół tych postaci tworzą John Constantine, Zatanna i Jason Blood, znany także jako Demon Etrigan.",Film,"Akcja, Animacja, Fantasy, Sci-Fi, Thriller",2017,,7.1,15229,USA,https://cda-hd.cc/11109/liga-sprawiedliwosci-mrok-justice-league-dark-2017-online/,https://image.tmdb.org/t/p/w185/9iQzRHnEeO13xovvr99hEcGc4ZZ.jpg
Kłamstwa mojej matki / Mother of All Lies (2015),"Sara nawiązuje kontakt ze swoją biologiczną matką, Abby. Kobieta właśnie wyszła z więzienia. Gdy ginie jej dawny wspólnik, obie są podejrzane. Matka i córka muszą stawić czoło policji i gansterom.",Film,Dramat,2015,,5.4,86,Canada,https://cda-hd.cc/10768/klamstwa-mojej-matki-mother-of-all-lies-2015-online/,https://image.tmdb.org/t/p/w185/a5Yq8dgPHUDM9xGTkoVct9QCDiJ.jpg
Taxi 2 (2000),,Film,"Akcja, Komedia, Kryminał",2000,88,6.4,41418,France,https://cda-hd.cc/10599/taxi-2-2000-online/,https://image.tmdb.org/t/p/w185/exjTX1slT7Lhcov3saG3wPVVHYp.jpg
Łowca Pojedynków / Duelyant / The Duelist (2016),"XIX wiek, St. Petersburg ogarnia fala pojedynków. Dla jednych to sposób na życie, dla innych na przeżycie…",Film,"Akcja, Dramat",2016,,6.4,4424,Russia,https://cda-hd.cc/10106/lowca-pojedynkow-duelyant-the-duelist-2016-online/,https://image.tmdb.org/t/p/w185/nWiBwTnHY55448tscsiqS8LTmmI.jpg
Łowcy duchów / Ghosthunters (2016),,Film,Horror,2016,90,3.1,163,USA,https://cda-hd.cc/5177/ghosthunters-2016-online/,"https://m.media-amazon.com/images/M/MV5BMzc1NDYyMDYtNGI5OS00NzhjLWEyOTUtMzY3YjVmZDU5NDUxXkEyXkFqcGdeQXVyMjY2MjgxODI@._V1_UX182_CR0,0,182,268_AL_.jpg"
A Wish for Christmas (2016),"Sara Shaw (Lacey Chabert) jest pracowitą, lecz zbyt uległą i miłą osobą. Gdy jej szef Dirk Tyson (Jason McKinnon) kradnie jej pomysł na inicjatywę bożonarodzeniową, kobieta stwierdza, że musi zacząć walczyć o siebie. Wkrótce Sara spotyka Świętego Mikołaja (Howard Storey), który oferuje, że spełni jej jedno życzenie. Kobieta prosi o odwagę do powiedzenia właścicielowi firmy Peterowi (Paul Greene), że Tyson przywłaszczył jej pomysł. Święty Mikołaj spełnia życzenie Sary, dodając jej odwagi do walczenia o siebie na 48 godzin.",Film,"Dramat, Romans",2016,,6.6,427,"Canada, USA",https://cda-hd.cc/9731/a-wish-for-christmas-2016-online/,https://image.tmdb.org/t/p/w185/9z81XnaxHJ7LYptef6augvgwake.jpg
Spectral (2016),"Gdy zniszczone wojną europejskie miasto musi jeszcze stawić czoła zagrożeniu z innego świata, na pomoc rusza dzielny inżynier oraz elitarna jednostka wojskowa.",Film,"Akcja, Sci-Fi, Thriller",2016,,7.7,48,USA,https://cda-hd.cc/9249/spectral-2016-online/,https://image.tmdb.org/t/p/w185/img4jH5MRkfEKsLJMfqDqT9iyby.jpg
Zabójczy dar / An Bronntanas (2014),"W środku nocy ekipa ratunkowa dostaje wezwanie do kutra rybackiego, który dryfuje po morzu. Wieje silny wiatr i pada deszcz, więc akcja jest utrudniona. Na pokładzie ratownicy odkrywają martwą kobietę i warty fortunę ładunek narkotyków. Załoga staje przed trudnym wyborem. Może postąpić uczciwie i zgłosić sprawę policji. Mogą też zostawić ciało, a cenny towar podzielić między siebie i sprzedać. Decyzja, którą wspólnie podejmują, na zawsze odmienia ich życie.",Film,Thriller,2014,,8.1,648,Ireland,https://cda-hd.cc/9077/zabojczy-dar-an-bronntanas-2014-online/,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyMTMwMzg5MF5BMl5BanBnXkFtZTgwMjgxNTQwMzE@._V1_UY268_CR9,0,182,268_AL_.jpg"
Mordercza miłość / Broken Vows (2016),"Michael (Cam Gigandet) i Tara (Jaimie Alexander) są parą idealną. Zakochani w sobie od lat, mieszkają w pięknym domu na przedmieściach. Właśnie się zaręczyli, teraz zaczynają planować ślub. Pewnego wieczoru Tara idzie z przyjaciółką do baru. Tam poznaje Patricka (Wes Bentley). Początkowo niepewna, z czasem kobieta daje się uwieść przystojnemu barmanowi. Wkrótce spędzają razem noc. Tarę dręczą jednak wyrzuty sumienia, próbuje więc zakończyć znajomość z Patrickiem. Wówczas on wpada we wściekłość.",Film,Thriller,2016,,4.2,158,USA,https://cda-hd.cc/6809/mordercza-milosc-broken-vows-2016-online/,https://image.tmdb.org/t/p/w185/kwGMny1mFv5gi9Y8plz7SZZroH8.jpg
Nieuchwytny cel 2 / Hard Target 2 (2016),"Kończący karierę wojownik Wes “The Jailor” Baylor, zostaje skuszony wysokim zarobkiem na stoczenie ostatniej walki. Wkrótce oszustwo wychodzi na jaw, a Wes staje się celem licznej, uzbrojonej po zęby grupy. Teraz musi zrobić wszystko, by nie zginąć.",Film,"Akcja, Thriller",2016,,5.2,5566,USA,https://cda-hd.cc/4034/nieuchwytny-cel-2-hard-target-2-2016/,https://image.tmdb.org/t/p/w185/7ehSr7WegVPJ8yGDHchO3v4SkUk.jpg
XOXO (2016),"Życia 6 nieznajomych krzyżują się podczas szalonej, spełniającej marzenia, beznadziejnie romantycznej nocy.",Film,"Dramat, Muzyczny",2016,,5.3,6479,USA,https://cda-hd.cc/4022/xoxo-2016/,https://image.tmdb.org/t/p/w185/860foUnRAGcq2yEAe2bwp42FrV8.jpg
Zabójca idealny / The Perfect Weapon (2016),"Ameryka 2045. Państwo przybrało totalitarny charakter i jest rządzone przez bezwzględnego Dyrektora (Steven Seagal), który kontroluje wszelkie aspekty życia obywateli. Wszelkiej maści przeciwnicy władzy są natychmiast identyfikowani i szybko eliminowani przez rządowych zabójców. Condor (Johnny Messner) należy do grona najlepszych tajnych agentów. Gdy jednak zlecona mu operacja wyeliminowania kolejnego przeciwnika rządu kończy się niepowodzeniem, on sam staje się celem dawnych kompanów. Ścigany, odkrywa, że był częścią specjalnego programu, w ramach którego uczyniono z niego zabójcę idealnego.",Film,"Akcja, Sci-Fi",2016,,6.6,37,"USA, Szwecja",https://cda-hd.cc/3870/zabojca-idealny-the-perfect-weapon-2016/,https://image.tmdb.org/t/p/w185/2HvX8tXLu58y0qrfzVdFI3lryTe.jpg
Pinokio / Pinocchio (2013),Wyrzeźbiona przez Dżepetto drewniana kukiełka ożywa. Ubogi konstruktor nadaje jej imię Pinokio.,Film,"Animacja, Dramat, Fantasy",2013,,5.2,106,Germany,https://cda-hd.cc/2212/pinokio-pinocchio-2013/,https://image.tmdb.org/t/p/w185/96QTpJmizhQgKuN73SKzpFDvoVh.jpg
Showdown In Manila (2016),"Prywatni detektywi Nick i Charlie prowadząc kolejne śledztwo trafiają na trop wiodący do dżungli, gdzie odnajdują obóz terrorystów. Razem z grupą śmiałków podejmują się samobójczej misji pokonania niegodziwców.",Film,Akcja,2016,,3.0,837,USA,https://cda-hd.cc/2102/showdown-in-manila/,https://image.tmdb.org/t/p/w185/pQGE2nZ6OQKSDWekXyfiBYWFMxA.jpg
Haker / Blackhat (2015),,Film,"Akcja, Dramat, Kryminał, Thriller",2015,133,5.4,39897,USA,https://cda-hd.cc/1858/haker-blackhat-2015-online/,https://image.tmdb.org/t/p/w185/6KGxFPcGcyYnN4ct96nmYoabLZ6.jpg
Deadman Apocalypse (2015),,Film,"Akcja, Przygodowy",2016,78,2.1,199,UK,https://cda-hd.cc/1772/deadman-apocalypse-online/,https://image.tmdb.org/t/p/w185/rCb7WFsyqcTKJsi99sCl8KAKcAe.jpg
Ukraść jej oddech / Steal Her Breath / Raub ihren Atem (2024),"Złodziejka i policjantka prowadzą niebezpieczną, pełną pasji grę w kotka i myszkę.",Film,Thriller,2024,110,,,Germany,https://cda-hd.cc/65597/ukrasc-jej-oddech-steal-her-breath-raub-ihren-atem-2024/,https://image.tmdb.org/t/p/w185/yMItk9XwC7mqdjFcpqFDeiEOc9e.jpg
